date,product,sales
2023-02-01,Widget A,497
2023-02-01,Widget B,379
2023-02-01,Widget C,257
2023-02-01,Widget D,237
2023-02-02,Widget A,72
2023-02-02,Widget B,389
2023-02-02,Widget C,241
2023-02-02,Widget D,184
2023-02-03,Widget A,306
2023-02-03,Widget B,204
2023-02-03,Widget C,376
2023-02-03,Widget D,69
2023-02-04,Widget A,431
2023-02-04,Widget B,252
2023-02-04,Widget C,229
2023-02-04,Widget D,404
2023-02-05,Widget A,402
2023-02-05,Widget B,209
2023-02-05,Widget C,252
2023-02-05,Widget D,347
2023-02-06,Widget A,460
2023-02-06,Widget B,392
2023-02-06,Widget C,461
2023-02-06,Widget D,101
2023-02-07,Widget A,281
2023-02-07,Widget B,496
2023-02-07,Widget C,96
2023-02-07,Widget D,402
2023-02-08,Widget A,309
2023-02-08,Widget B,207
2023-02-08,Widget C,306
2023-02-08,Widget D,249
2023-02-09,Widget A,152
2023-02-09,Widget B,423
2023-02-09,Widget C,484
2023-02-09,Widget D,487
2023-02-10,Widget A,407
2023-02-10,Widget B,387
2023-02-10,Widget C,200
2023-02-10,Widget D,478
2023-02-11,Widget A,297
2023-02-11,Widget B,464
2023-02-11,Widget C,202
2023-02-11,Widget D,291
2023-02-12,Widget A,301
2023-02-12,Widget B,384
2023-02-12,Widget C,393
2023-02-12,Widget D,103
2023-02-13,Widget A,192
2023-02-13,Widget B,382
2023-02-13,Widget C,53
2023-02-13,Widget D,270
2023-02-14,Widget A,316
2023-02-14,Widget B,463
2023-02-14,Widget C,143
2023-02-14,Widget D,414
2023-02-15,Widget A,269
2023-02-15,Widget B,402
2023-02-15,Widget C,449
2023-02-15,Widget D,72
2023-02-16,Widget A,149
2023-02-16,Widget B,188
2023-02-16,Widget C,187
2023-02-16,Widget D,454
2023-02-17,Widget A,122
2023-02-17,Widget B,335
2023-02-17,Widget C,197
2023-02-17,Widget D,290
2023-02-18,Widget A,205
2023-02-18,Widget B,351
2023-02-18,Widget C,110
2023-02-18,Widget D,85
2023-02-19,Widget A,389
2023-02-19,Widget B,218
2023-02-19,Widget C,288
2023-02-19,Widget D,192
2023-02-20,Widget A,467
2023-02-20,Widget B,329
2023-02-20,Widget C,90
2023-02-20,Widget D,125
2023-02-21,Widget A,340
2023-02-21,Widget B,311
2023-02-21,Widget C,366
2023-02-21,Widget D,414
2023-02-22,Widget A,296
2023-02-22,Widget B,479
2023-02-22,Widget C,475
2023-02-22,Widget D,202
2023-02-23,Widget A,259
2023-02-23,Widget B,231
2023-02-23,Widget C,66
2023-02-23,Widget D,149
2023-02-24,Widget A,422
2023-02-24,Widget B,251
2023-02-24,Widget C,428
2023-02-24,Widget D,433
2023-02-25,Widget A,362
2023-02-25,Widget B,181
2023-02-25,Widget C,316
2023-02-25,Widget D,121
2023-02-26,Widget A,379
2023-02-26,Widget B,496
2023-02-26,Widget C,367
2023-02-26,Widget D,228
2023-02-27,Widget A,130
2023-02-27,Widget B,299
2023-02-27,Widget C,453
2023-02-27,Widget D,145
2023-02-28,Widget A,91
2023-02-28,Widget B,219
2023-02-28,Widget C,332
2023-02-28,Widget D,244
